Topic,Count,Name,Representation,Representative_Docs
-1,8629,-1_the_and_trump_to,"['the', 'and', 'trump', 'to', 'tariff', 'is', 'of', 'in', 'he', 'for']","['  dont forget tariff taxes increases the price then you have higher sales tax on top of that trump thought the world would bow before him instead they laughed china does not need us they know that  billion people on this planet only  million of them americans', '   talking points bro because the racist people didnt like obama and they bonded over the hate for him more racist sprung up even if thats true how is this even relatable to the economy and the tariff war going on now if he made america racist why all racist support trump', '  also boycott any nonus goods please try and not buy anything that isnt mainly made here i think it is time we backed trump up and helped him with this tariff war because he has been right so far and the us needs to win this after him promising no more income tax for the']"
0,1139,0_us_they_countries_pay,"['us', 'they', 'countries', 'pay', 'you', 'we', 'other', 'them', 'the', 'if']","['      no im talking  about countries that we pay import taxtariff and those countries do not pay import taxtariff to the us we have to start manufacturing in our own country and not buy anything but made in the usa that makes our economy grow', '  you have to be kidding do you have any idea how tariffs work tariff increase import price businesses will not eat the cost so pass it to consumers your consumers pay the extra you lose but the government collect the tax tariff from you countries allign with anyone but us', '  its like this they selling in the usa with no tariffs because we dont have any on their good so the american people are buying goods frm that country but when we sell good in the other countries they put a tariff on our goods making it to high for there people to buy us goods']"
1,600,1_china_chinese_chinas_us,"['china', 'chinese', 'chinas', 'us', 'goods', 'war', 'they', 'pay', 'the', 'is']","[' do chinas citizens pay chinas  tariff on us goods  \n\nif so why does china do that to their people', '  i am shocked by the perception of americans  you are jealous of china  there is nothing you can do against china the us will lose the tariff war the value of chinese exports to the us only accounts for  of chinas gdp we dont need the american market', '   i am shocked by the perception of americans  you are jealous of china  there is nothing you can do against china the us will lose the tariff war the value of chinese exports to the us only accounts for  of chinas gdp we dont need the american market']"
2,538,2_sampp_stock_stocks_nasdaq,"['sampp', 'stock', 'stocks', 'nasdaq', 'market', 'futures', 'markets', 'points', 'investors', 'rally']","['futures for the dow jones industrial average jumped  points or  sampp  futures leapt  and nasdaq futures surged \ndow futures and the dollar surge as wall street cheers uschina tariff talks \n', 'trend watch\n\nstock futures rocket higher on trumps tariff exemptions for tech \nsampp  up  \nnasdaq surges  \n\nbig earnings week ahead \n\nstockmarket investing sp nasdaq dowjones', 'stock market today dow sampp  nasdaq fall as trump tariff threats roar back us deficit anxiety deepens ']"
3,460,3_china_chinese_additional_trump,"['china', 'chinese', 'additional', 'trump', 'war', 'he', 'on', 'xi', 'chinas', 'his']","[' also trump groveling to china as he got pummelled by the chinese after launching his tariff war', ' no trump retreated on his  china tariff ', 'prez trump just announced he will impose an additional  tariff on china if it does not withdraw its retaliatory  tariff by tomorrow this will bring tariffs on chinese goods to about  good on trump hes not allowing the chinese to intimidate him']"
4,421,4_india_pakistan_ustariff_indian,"['india', 'pakistan', 'ustariff', 'indian', 'trumptariff', 'impact', 'ceasefire', 'deal', 'tradewar', 'trade']","['     kashmir does not belong to india india is illegally occupying kaahmir if trump thinks that india will fight china then he is wrong india will never fight china india is just using america and trump its the tariff king remember ', 'this is a clear message to hindutuva  rascals  \n \n\nindia is no superpower without usas mercy india is nothing \nus higher tariff will burn \n\nit was indian muslims who invented nukes for india hindutuvarascals\n\ntiktok ', 'the us will charge  tariff on india  says \n\nustariff reciprocaltariffs india us trump ']"
5,344,5_produced_outside_foreign_industry,"['produced', 'outside', 'foreign', 'industry', 'announces', 'president', 'all', 'on', 'imported', 'into']","['trump announces  tariff on movies produced outside us ', 'just in  president trump announces  tariff on movies produced outside the united states ', 'president trump says he will implement  tariffs on films produced outside the us the movie industry in america is dying\n\ntrump has said he is authorising a  tariff on any and all movies produced in foreign lands\n']"
6,290,6_inflation_cpi_fed_expected,"['inflation', 'cpi', 'fed', 'expected', 'prices', 'rates', 'core', 'impact', 'rate', 'low']","['  has trumps tariffs shrunk us economy and has inflation risen due to tariffs', '  thats not true at all his tariff policies are expected to raise inflation later this year\n\nif you look at this graph inflation has been going down at the same rate since biden signed the inflation reduction act that means trump never caused the low inflation rate biden did ', 'may  inflation shocker  cpi up just  defying fears of trumps tariffs spiking prices gas amp cars drop offsetting toy amp appliance hikes is the economy dodging the tariff bullet inflation tariffs news\n\n']"
7,239,7_walmart_eat_prices_price,"['walmart', 'eat', 'prices', 'price', 'target', 'absorb', 'costs', 'retailers', 'raise', 'increases']","['trump also claims that walmart should eat the tariffs and not raise costs on foreign products\n\ndo you see the contradiction\n\nif walmart eats the cost of the tariff which trump thinks is not a tax on walmart the american people will have no incentive to purchase american', 'walmart eats trumptariff price increases\n\nwalmart makes lower profits\n\nwalmart stock goes down\n\nstockholders lose money\n\nwalmart lays off workers\n\nwho pays for trumptariffs\n\namerican consumers\n\ntrump lies again\nmaga trump ', '  its not price gouging its a tariff you daft cow if walmart pay more you pay more  its not difficult to understand if walmart doesnt make profit there is no walmart no walmart no tax on profits  no tax  no government money to spend on trump birthday parade and golf days']"
8,202,8_canada_canadians_canadian_canadas,"['canada', 'canadians', 'canadian', 'canadas', 'liberals', 'you', 'election', 'he', 'trump', 'with']","[' trump another  tariff on canada', '  you think canada is the bully in this trump is a fucking laura canada has absolutely zero tariff that reaches  and the  tariff is triggered if us exceeds their allotted export in essence the get to move products into canada free of tariff until they exceed agreed amount', ' canada carneytrudeau destroy the economy blame trump preexisting tariffs\n\ntrump reciprocal tariffs\n\ncanada elbows up trump bad empose more tariffs that cost canadian taxpayers  \n\ntrump get rid of the tariffs or you will suffer \n\ncanada boos their anthem']"
