ï»¿createdAt,fullText,author/id,author/location,text_preprocessing1,text_preprocessing_no_punctuation,text_no_stopwords,text_lemmatized
3/4/25,"@SpencerHakimian Tariffs arenât self-taxation, theyâre leverage. If Vietnam exports $150B to the US but buys just $10B, we have asymmetric power. 

A tariff is a tool to correct trade imbalances, protect domestic industry, and force fairer terms. 

Econ illiteracy is not knowing thatâ¦",1487236076548894724,"Issaquah, WA"," Tariffs arent self-taxation, theyre leverage. If Vietnam exports $B to the US but buys just $B, we have asymmetric power. 

A tariff is a tool to correct trade imbalances, protect domestic industry, and force fairer terms. 

Econ illiteracy is not knowing that"," tariffs arent selftaxation theyre leverage if vietnam exports b to the us but buys just b we have asymmetric power 

a tariff is a tool to correct trade imbalances protect domestic industry and force fairer terms 

econ illiteracy is not knowing that",tariffs arent selftaxation theyre leverage vietnam exports b buys just b asymmetric power tariff tool correct trade imbalances protect domestic industry force fairer terms econ illiteracy knowing,tariff arent selftaxation theyre leverage vietnam export b buy just b asymmetric power tariff tool correct trade imbalance protect domestic industry force fairer term econ illiteracy knowing
3/4/25,@joma_gc Veitnam has the audacity to have a 90% tariff on US goods? F' them!,1762610631348510720,, Veitnam has the audacity to have a % tariff on US goods? F' them!, veitnam has the audacity to have a  tariff on us goods f them,veitnam audacity tariff goods f,veitnam audacity tariff good f
3/4/25,"My thoughts on the tariff debate:

1) If they tariff us, the law of equality dictates that we should be able to tariff them. 2) The world is changing. And whether you like it or not, something like this was bound to happen. 3) Our countries have survived on tariffs before. 4) You",1126395138,California,"My thoughts on the tariff debate:

) If they tariff us, the law of equality dictates that we should be able to tariff them. ) The world is changing. And whether you like it or not, something like this was bound to happen. ) Our countries have survived on tariffs before. ) You","my thoughts on the tariff debate

 if they tariff us the law of equality dictates that we should be able to tariff them  the world is changing and whether you like it or not something like this was bound to happen  our countries have survived on tariffs before  you",thoughts tariff debate tariff law equality dictates able tariff world changing like like bound happen countries survived tariffs,thought tariff debate tariff law equality dictate able tariff world change like like bound happen country survive tariff
3/4/25,"@thejefflutz Grok has the total labor hours to build a car and its parts around 150hr.   That's $10,500 in labor/car in the US.  Seems like there would be a path were you build some of the Lowest value, most labor intensive parts in Mexico and pay the tariff, then just build the rest in the",4764020911,"Kenmore, WA"," Grok has the total labor hours to build a car and its parts around hr.   That's $, in labor/car in the US.  Seems like there would be a path were you build some of the Lowest value, most labor intensive parts in Mexico and pay the tariff, then just build the rest in the", grok has the total labor hours to build a car and its parts around hr   thats  in laborcar in the us  seems like there would be a path were you build some of the lowest value most labor intensive parts in mexico and pay the tariff then just build the rest in the,grok total labor hours build car parts hr thats laborcar like path build lowest value labor intensive parts mexico pay tariff just build rest,grok total labor hour build car part hr thats laborcar like path build low value labor intensive part mexico pay tariff just build rest
3/4/25,"'India very, very tough. The Prime Minister just left and is a great friend of mine, but you are not treating us right. They charge us 52 per cent and we charge them almost nothing'

US President #DonaldTrump announces 26% 'discounted' reciprocal tariff on India https://t.co/IVKBAuF97I",1790517608153772033,Los Angeles California,"'India very, very tough. The Prime Minister just left and is a great friend of mine, but you are not treating us right. They charge us  per cent and we charge them almost nothing'

US President  announces % 'discounted' reciprocal tariff on India ","india very very tough the prime minister just left and is a great friend of mine but you are not treating us right they charge us  per cent and we charge them almost nothing

us president  announces  discounted reciprocal tariff on india ",india tough prime minister just left great friend treating right charge cent charge president announces discounted reciprocal tariff india,india tough prime minister just leave great friend treat right charge cent charge president announces discount reciprocal tariff india
3/4/25,"@DavidGiglioCA We benefit heavily from this. US companies are allowed to produce at a huge scale and sell to an international customer base with minimal overhead. Meanwhile, Vietnam doesnât need anything from us. Therefore they impose a slight 10% tariff on whatever US good they import. Fair.",1872004341923475456,," We benefit heavily from this. US companies are allowed to produce at a huge scale and sell to an international customer base with minimal overhead. Meanwhile, Vietnam doesnt need anything from us. Therefore they impose a slight % tariff on whatever US good they import. Fair.", we benefit heavily from this us companies are allowed to produce at a huge scale and sell to an international customer base with minimal overhead meanwhile vietnam doesnt need anything from us therefore they impose a slight  tariff on whatever us good they import fair,benefit heavily companies allowed produce huge scale sell international customer base minimal overhead vietnam doesnt need impose slight tariff good import fair,benefit heavily company allow produce huge scale sell international customer base minimal overhead vietnam doesnt need impose slight tariff good import fair
3/4/25,"Breaking:Argentina  in final negotiations with the US  to become the first zero-tariff country
As always, @JMilei is ahead of every other leader 
Congratulations to the greatPresident @POTUS and his greatteam
@MikeWaltz47 @SecRubio @aboehler @howardlutnick @SecScottBessent https://t.co/I2oDndeLun",1227745672323051521,United Arab Emirates,"Breaking:Argentina  in final negotiations with the US  to become the first zero-tariff country
As always,  is ahead of every other leader 
Congratulations to the greatPresident  and his greatteam
     ","breakingargentina  in final negotiations with the us  to become the first zerotariff country
as always  is ahead of every other leader 
congratulations to the greatpresident  and his greatteam
     ",breakingargentina final negotiations zerotariff country ahead leader congratulations greatpresident greatteam,breakingargentina final negotiation zerotariff country ahead leader congratulation greatpresident greatteam
3/4/25,We literally were founded on free trade. It was a tariff on tea the put us over the edge. Itâs where âno taxation without representationâ comes from.,937212273013284864,United States,We literally were founded on free trade. It was a tariff on tea the put us over the edge. Its where no taxation without representation comes from.,we literally were founded on free trade it was a tariff on tea the put us over the edge its where no taxation without representation comes from,literally founded free trade tariff tea edge taxation representation comes,literally found free trade tariff tea edge taxation representation come
3/4/25,"President Donald Trump is imposing tariffs on US trading partners worldwide.

Trump said he will apply a minimum 10% tariff on all exporters to the US and slap additional duties on around 60 nations with the largest trade imbalances with the US https://t.co/Ue2bOsuO34 https://t.co/CszxqR4FXd",1790517608153772033,Los Angeles California,"President Donald Trump is imposing tariffs on US trading partners worldwide.

Trump said he will apply a minimum % tariff on all exporters to the US and slap additional duties on around  nations with the largest trade imbalances with the US  ","president donald trump is imposing tariffs on us trading partners worldwide

trump said he will apply a minimum  tariff on all exporters to the us and slap additional duties on around  nations with the largest trade imbalances with the us  ",president donald trump imposing tariffs trading partners worldwide trump said apply minimum tariff exporters slap additional duties nations largest trade imbalances,president donald trump impose tariff trade partner worldwide trump say apply minimum tariff exporter slap additional duty nation large trade imbalance
3/4/25,"@kate_p45 @themarketswork Von der Leyen has a good point: ""We have a 80yr deal with America.  We tariff the living @#$! out of anything they sell to us and they take it like chumps and pay for our security to boot. Trump is breaking that sacred pact.""",2293507136,,"  Von der Leyen has a good point: ""We have a yr deal with America.  We tariff the living @#$! out of anything they sell to us and they take it like chumps and pay for our security to boot. Trump is breaking that sacred pact.""",  von der leyen has a good point we have a yr deal with america  we tariff the living  out of anything they sell to us and they take it like chumps and pay for our security to boot trump is breaking that sacred pact,von der leyen good point yr deal america tariff living sell like chumps pay security boot trump breaking sacred pact,von der leyen good point yr deal america tariff live sell like chump pay security boot trump breaking sacred pact
3/4/25,"@olarewaju4869 Hello @olarewaju4869, thank you for reaching out to us. We do not intend to cause any form of disservice. Check shows that you are still on Berekete, now called Glo Talk on. We have recently adjusted our tariff to serve you better. Our voice call rates have been reduced, 1/4",276939439,," Hello , thank you for reaching out to us. We do not intend to cause any form of disservice. Check shows that you are still on Berekete, now called Glo Talk on. We have recently adjusted our tariff to serve you better. Our voice call rates have been reduced, /", hello  thank you for reaching out to us we do not intend to cause any form of disservice check shows that you are still on berekete now called glo talk on we have recently adjusted our tariff to serve you better our voice call rates have been reduced ,hello thank reaching intend cause form disservice check shows berekete called glo talk recently adjusted tariff serve better voice rates reduced,hello thank reach intend cause form disservice check show berekete call glo talk recently adjust tariff serve well voice rate reduce
3/4/25,Stellantis layoffs hit five US auto plants that supply factories in Canada and Mexico | CNN Business https://t.co/tP2Z7TRL0U,16106522,Earth.,Stellantis layoffs hit five US auto plants that supply factories in Canada and Mexico | CNN Business ,stellantis layoffs hit five us auto plants that supply factories in canada and mexico  cnn business ,stellantis layoffs hit auto plants supply factories canada mexico cnn business,stellantis layoff hit auto plant supply factory canada mexico cnn business
3/4/25,"@itsMissxng @d_boe03 @PowerGPU So many people on here that are pro tariff think that somehow American businesses are going to be able scale to meet demand and price point. Any company that shifts will raise prices substantially due to US labor costs and imported materials, and shifting takes a long time",177570060,,"   So many people on here that are pro tariff think that somehow American businesses are going to be able scale to meet demand and price point. Any company that shifts will raise prices substantially due to US labor costs and imported materials, and shifting takes a long time",   so many people on here that are pro tariff think that somehow american businesses are going to be able scale to meet demand and price point any company that shifts will raise prices substantially due to us labor costs and imported materials and shifting takes a long time,people pro tariff think american businesses going able scale meet demand price point company shifts raise prices substantially labor costs imported materials shifting takes long time,people pro tariff think american business go able scale meet demand price point company shift raise price substantially labor cost imported material shift take long time
3/4/25,"hits back with U.S. tariffs: 25% on non-#CUSMA #vehicles &amp; #imports, billions for #auto workers, tax relief, EI support. New strategy to boost domestic production. Details: https://t.co/nH7kJ0N3VN https://t.co/C2XmgYn3IT",71580332,"Winnipeg, MB, Canada","hits back with U.S. tariffs: % on non-  &amp; , billions for  workers, tax relief, EI support. New strategy to boost domestic production. Details:  ",hits back with us tariffs  on non  amp  billions for  workers tax relief ei support new strategy to boost domestic production details  ,hits tariffs non amp billions workers tax relief ei support new strategy boost domestic production details,hit tariff non amp billion worker tax relief ei support new strategy boost domestic production detail
3/4/25,"WATCH || Discussion on the impact of #USTariffs on India and the global economy, featuring insights from @subhomoyb.

#USTariff @shubhendu_ghosh https://t.co/z5bDWFEFJy",718368960903847936,"New Delhi, India","WATCH || Discussion on the impact of  on India and the global economy, featuring insights from .

  ","watch  discussion on the impact of  on india and the global economy featuring insights from 

  ",watch discussion impact india global economy featuring insights,watch discussion impact india global economy feature insight
3/4/25,"US Tariff Blow: Apple Stock Plunges as Key Manufacturing Hubs China, India, Vietnam Stare at Levies

https://t.co/LkYLfk0T2R

#USTariff #tariffs #Apple",828841083257778176,"Mumbai, India","US Tariff Blow: Apple Stock Plunges as Key Manufacturing Hubs China, India, Vietnam Stare at Levies



  ","us tariff blow apple stock plunges as key manufacturing hubs china india vietnam stare at levies



  ",tariff blow apple stock plunges key manufacturing hubs china india vietnam stare levies,tariff blow apple stock plunge key manufacture hubs china india vietnam stare levy
3/4/25,"European leaders hits out at Trump tariffs, warn it will hurt the world economy #thetariffwhirl #ustariff
https://t.co/fFoEpCrpDK",1115874631,"Beijing, China","European leaders hits out at Trump tariffs, warn it will hurt the world economy  
","european leaders hits out at trump tariffs warn it will hurt the world economy  
",european leaders hits trump tariffs warn hurt world economy,european leader hit trump tariff warn hurt world economy
3/4/25,"Saurabh Agarwal, Partner and Leader, Automotive Tax, EY India, highlights how rising US tariffs on Chinese automotive imports create a growth window for Indiaâs EV sectorâespecially in budget cars.

#USTariff #ShapetheFuturewithConfidence #EV https://t.co/U3rTJnos2S",250391704,India,"Saurabh Agarwal, Partner and Leader, Automotive Tax, EY India, highlights how rising US tariffs on Chinese automotive imports create a growth window for Indias EV sectorespecially in budget cars.

   ","saurabh agarwal partner and leader automotive tax ey india highlights how rising us tariffs on chinese automotive imports create a growth window for indias ev sectorespecially in budget cars

   ",saurabh agarwal partner leader automotive tax ey india highlights rising tariffs chinese automotive imports create growth window indias ev sectorespecially budget cars,saurabh agarwal partner leader automotive tax ey india highlight rise tariff chinese automotive import create growth window india ev sectorespecially budget car
3/4/25,"People should be very happy with these overvalued stocks coming down to fair value, the market never stays down. #USTariff #ustarrifs",3255843534,"Atlanta, GA","People should be very happy with these overvalued stocks coming down to fair value, the market never stays down.  ",people should be very happy with these overvalued stocks coming down to fair value the market never stays down  ,people happy overvalued stocks coming fair value market stays,people happy overvalued stock come fair value market stay
3/4/25,"Indian stock markets opened in the red on Thursday, mirroring losses across Asian markets after US President Donald Trump announced sweeping tariffs on major trading partners.

#StockMarket  #Nifty50  #USTariff 

https://t.co/alHQqaxthU",1660174079696195584,Lucknow,"Indian stock markets opened in the red on Thursday, mirroring losses across Asian markets after US President Donald Trump announced sweeping tariffs on major trading partners.

     

","indian stock markets opened in the red on thursday mirroring losses across asian markets after us president donald trump announced sweeping tariffs on major trading partners

     

",indian stock markets opened red thursday mirroring losses asian markets president donald trump announced sweeping tariffs major trading partners,indian stock market open red thursday mirroring loss asian market president donald trump announce sweeping tariff major trade partner
3/4/25,"With a major share of exports heading to the US, tariff disparities on gold and diamonds put India at a competitive disadvantage.  The industry is calling for stronger trade negotiations to safeguard its global standing.
 
#USTariff #ShapetheFuturewithConfidence #GlobalMarkets",250391704,India,"With a major share of exports heading to the US, tariff disparities on gold and diamonds put India at a competitive disadvantage.  The industry is calling for stronger trade negotiations to safeguard its global standing.
 
  ","with a major share of exports heading to the us tariff disparities on gold and diamonds put india at a competitive disadvantage  the industry is calling for stronger trade negotiations to safeguard its global standing
 
  ",major share exports heading tariff disparities gold diamonds india competitive disadvantage industry calling stronger trade negotiations safeguard global standing,major share export head tariff disparity gold diamond india competitive disadvantage industry call strong trade negotiation safeguard global standing
3/4/25,"Global markets rattle as Trump escalates trade war with new tariffs #thetariffwhirl #ustariff
https://t.co/yCg2xrDLNO",1115874631,"Beijing, China","Global markets rattle as Trump escalates trade war with new tariffs  
","global markets rattle as trump escalates trade war with new tariffs  
",global markets rattle trump escalates trade war new tariffs,global market rattle trump escalates trade war new tariff
3/4/25,"Agneshwar Sen, Leader, Trade Policy, EY India, underscores how United States (US) tariffs are disrupting traditional trade flows, creating new challenges and opportunities. 

#USTariff #ShapetheFuturewithConfidence  #GlobalMarkets #Trade https://t.co/xlMDLU7dA3",250391704,India,"Agneshwar Sen, Leader, Trade Policy, EY India, underscores how United States (US) tariffs are disrupting traditional trade flows, creating new challenges and opportunities. 

     ","agneshwar sen leader trade policy ey india underscores how united states us tariffs are disrupting traditional trade flows creating new challenges and opportunities 

     ",agneshwar sen leader trade policy ey india underscores united states tariffs disrupting traditional trade flows creating new challenges opportunities,agneshwar sen leader trade policy ey india underscore united state tariff disrupt traditional trade flow create new challenge opportunity
3/4/25,"However, with shifting global trade dynamics, competition in other markets may intensify as countries redirect exports.  Strategic planning and resilience will be key to staying ahead.
 
#USTariff #ShapetheFuturewithConfidence #GlobalMarkets",250391704,India,"However, with shifting global trade dynamics, competition in other markets may intensify as countries redirect exports.  Strategic planning and resilience will be key to staying ahead.
 
  ","however with shifting global trade dynamics competition in other markets may intensify as countries redirect exports  strategic planning and resilience will be key to staying ahead
 
  ",shifting global trade dynamics competition markets intensify countries redirect exports strategic planning resilience key staying ahead,shift global trade dynamic competition market intensify country redirect export strategic plan resilience key stay ahead
3/4/25,"Why #Trump's tariff tantrums will fail: Lessons from primate politics #thetariffwhirl #ustariff
https://t.co/tGD0QF4Yij",1115874631,"Beijing, China","Why 's tariff tantrums will fail: Lessons from primate politics  
","why s tariff tantrums will fail lessons from primate politics  
",s tariff tantrums fail lessons primate politics,s tariff tantrum fail lesson primate politics
3/4/25,"While a traditional businessperson sells one watermelon for $4, an entrepreneur extracts more value, turning that same watermelon into multiple glasses of juice, easily making 4-5x that amount.

Thatâs the power of perceived value. $BTC #Crypto #Entrepreneurship $cPEN #USTariff",1887047168927641600,Web3  .0,"While a traditional businessperson sells one watermelon for $, an entrepreneur extracts more value, turning that same watermelon into multiple glasses of juice, easily making -x that amount.

Thats the power of perceived value. $BTC   $cPEN ","while a traditional businessperson sells one watermelon for  an entrepreneur extracts more value turning that same watermelon into multiple glasses of juice easily making x that amount

thats the power of perceived value btc   cpen ",traditional businessperson sells watermelon entrepreneur extracts value turning watermelon multiple glasses juice easily making x thats power perceived value btc cpen,traditional businessperson sell watermelon entrepreneur extract value turn watermelon multiple glass juice easily make x thats power perceive value btc cpen
3/4/25,"Experts: U.S. ""will shoot itself in the foot"" due to tariff obsession #thetariffwhirl #ustariff
https://t.co/czjyuTZ0Yl",1115874631,"Beijing, China","Experts: U.S. ""will shoot itself in the foot"" due to tariff obsession  
","experts us will shoot itself in the foot due to tariff obsession  
",experts shoot foot tariff obsession,expert shoot foot tariff obsession
3/4/25,"Dive into this post to see the U.S. Tariffs on Globe  

And don't miss out to check our thread : https://t.co/94tueMfq2S

#USTariff #TrumpTariffs #Trump #trade #India #infographic https://t.co/uT2jwhO3Eb",2290607785,India,"Dive into this post to see the U.S. Tariffs on Globe  

And don't miss out to check our thread : 

      ","dive into this post to see the us tariffs on globe  

and dont miss out to check our thread  

      ",dive post tariffs globe dont miss check thread,dive post tariff globe dont miss check thread
3/4/25,"India may see influx of steel imports from US tariff-hit countries, say experts
https://t.co/DRIZdfKsM6

#TrumpTariffs #Tariffs #ReciprocalTariff #Trump #USTariff #DonaldTrump #Steel #SteelImport #TradeWar #TrumpAdministration https://t.co/4i2RB58hIS",1447848020997857283,India,"India may see influx of steel imports from US tariff-hit countries, say experts


          ","india may see influx of steel imports from us tariffhit countries say experts


          ",india influx steel imports tariffhit countries say experts,india influx steel import tariffhit country say expert
3/4/25,"Industries that stay resilient.
-Hotels
-Cement
-Hospitals
-Pharma
-Finacials
-Telecom
#TrumpTariffs #USTariff #tariffs",1507347070960943104,,"Industries that stay resilient.
-Hotels
-Cement
-Hospitals
-Pharma
-Finacials
-Telecom
  ","industries that stay resilient
hotels
cement
hospitals
pharma
finacials
telecom
  ",industries stay resilient hotels cement hospitals pharma finacials telecom,industry stay resilient hotel cement hospital pharma finacials telecom
3/4/25,"Liberation Day? Economic independence? The world bully crying victim! #CGTNOpinion #CGTNFirstVoice #thetariffwhirl #ustariff
https://t.co/fnVIT6iYsQ",1115874631,"Beijing, China","Liberation Day? Economic independence? The world bully crying victim!    
","liberation day economic independence the world bully crying victim    
",liberation day economic independence world bully crying victim,liberation day economic independence world bully cry victim
3/4/25,"Centre should have taken people into confidence about impending danger: Uddhav on US tariffs
https://t.co/xMfsmrQNv3

#TrumpTariffs #USTariff #TradeWar #UddhavThackeray #Trump #TrumpAdministration #ReciprocalTariff https://t.co/Ea9TObRgLk",1447848020997857283,India,"Centre should have taken people into confidence about impending danger: Uddhav on US tariffs


       ","centre should have taken people into confidence about impending danger uddhav on us tariffs


       ",centre taken people confidence impending danger uddhav tariffs,centre take people confidence impend danger uddhav tariff
3/4/25,"Rahul Criticizes Govt's Foreign Policy, China's Occupation &amp; US Tariffs 
 #RahulGandhi #Foreignpolicy #USTariff #ustarrifs #China #LAC #tariffs #RSS #BJP #NarendraModi #XiJinping #ladakh #LokSabha #LokSabhaDebate 

https://t.co/C9XS5p7JNd",2412550704,New Delhi,"Rahul Criticizes Govt's Foreign Policy, China's Occupation &amp; US Tariffs 
               

","rahul criticizes govts foreign policy chinas occupation amp us tariffs 
               

",rahul criticizes govts foreign policy chinas occupation amp tariffs,rahul criticize govts foreign policy china occupation amp tariff
3/4/25,"Global Watch Editor's Pick EP64: Trump's Tariffs, America's Bill: The Real Cost of Going lt Alone

#GWEditorsPick #thetariffwhirl #ustariff

https://t.co/DSBSg44dbq",991244506623283200,,"Global Watch Editor's Pick EP: Trump's Tariffs, America's Bill: The Real Cost of Going lt Alone

  

","global watch editors pick ep trumps tariffs americas bill the real cost of going lt alone

  

",global watch editors pick ep trumps tariffs americas real cost going lt,global watch editor pick ep trump tariff americas real cost go lt
3/4/25,"$ES level has been hit thanks to the #TrumpTariff madness

I've added a new level of confluence there as well â the 0.618-0.65 fib extension to complete an ABC correction into the start of a new 5 wave move up... let's see what happens EOW into Sunday evening

#SPX500 https://t.co/rGYBmNLJdj",1352465300294348805,,"$ES level has been hit thanks to the  madness

I've added a new level of confluence there as well  the .-. fib extension to complete an ABC correction into the start of a new  wave move up... let's see what happens EOW into Sunday evening

 ","es level has been hit thanks to the  madness

ive added a new level of confluence there as well  the  fib extension to complete an abc correction into the start of a new  wave move up lets see what happens eow into sunday evening

 ",es level hit thanks madness ive added new level confluence fib extension complete abc correction start new wave lets happens eow sunday evening,es level hit thanks madness ive add new level confluence fib extension complete abc correction start new wave let happen eow sunday evening
3/4/25,The #mathused to calculate #Trumptariff rates stuns #economists #tradewars #penguins https://t.co/Yq5jileXzb,382855291,Bruce Cty,The  to calculate  rates stuns    ,the  to calculate  rates stuns    ,calculate rates stuns,calculate rate stun
3/4/25,Nicolle Wallace: âTrump detonated a bomb in the heart of the most resilient economy on the planetâ - MSNBC #trumpTariff #TrumpTax https://t.co/JIoY2EBEnQ,931705137487273985,,Nicolle Wallace: Trump detonated a bomb in the heart of the most resilient economy on the planet - MSNBC   ,nicolle wallace trump detonated a bomb in the heart of the most resilient economy on the planet  msnbc   ,nicolle wallace trump detonated bomb heart resilient economy planet msnbc,nicolle wallace trump detonate bomb heart resilient economy planet msnbc
