post_id,user_id,full_text,created_at,lang,repost_count,like_count,source
1907578844636393679,1810361594586738692,"This is nasty 

NASDAQ futures down -4.4%, S&amp;P futures down -3.4% Ñ all on tariff news 

If this holds, my $NVDA puts will be deep in the money by tomorrowÕs close 
Bears eating good this week 

#NQ #ES #Futures #NVDA #PutGang #tariffs #tariff #trump #trumptariff $SPY https://t.co/PxuwliErzr",Wed Apr 02 23:40:12 +0000 2025,en,0,0,Twitter Web App
1907578044492968060,2736639061,"Investors Panic as U.S. Stock Market Plummets Over TrumpÕs Tariff Plan

https://t.co/QIHwA9pBR0

#InvestorsPanic #StockMarketCrash #TrumpTariff #MarketVolatility #FinancialNews #EconomicImpact #InvestingTips #WallStreet #MarketTrends #TradeWar #hotnews #news #breaking",Wed Apr 02 23:37:01 +0000 2025,en,1,0,Twitter Web App
1907575218501198232,1850383929829945344,"For all the people who have absolutely no concept of what a tariff is, &amp; how it differs from GST, Mark has made it very simple for you to understand.

#Trump #TrumpTariff #tariffs",Wed Apr 02 23:25:47 +0000 2025,en,0,2,Twitter for Android
1907574739964510255,449290925,"As someone who is feeling JVL levels of schadenfreude over this, let me just say... Happy Birthday to me  #Bulwark #TrumpTariff",Wed Apr 02 23:23:53 +0000 2025,en,0,0,Twitter for Android
1907570533836701721,23709151,The fuzziest math is #TrumpTariff Math.,Wed Apr 02 23:07:10 +0000 2025,en,0,0,Twitter for Android
1907564641141796921,1103317250830786562,"#TrumpTariff 
Miquelon #LePen
BRINCO The UK English token
St.Pierre brokenpen 1982
Government's Of Dominion 
NFL Newfoundland 
Churchill Falls Ltd #CFL 
#cdnpoli #uspoli 
Can't @DOGE ME 
@lepenactu
@RealAlexJones @liz_churchill10 
@KirkR95908 @JimFergusonUK 
#ableg #abpoli",Wed Apr 02 22:43:45 +0000 2025,en,0,2,Twitter for Android
1907564493934096802,146772890,"Notice that #Russia is not on the #TrumpTariff list?

Yet the Heard Island and McDonald Islands have been listed with a 10% tariff

Population?
Zero https://t.co/Mx6YwjBi4B",Wed Apr 02 22:43:10 +0000 2025,en,0,1,Twitter for Android
1907559639970906459,499099899,"#Dowfutures tumble 900 points, S&amp;P 500 futures lose 3% on #Trumptariff rollout: Live updates https://t.co/nKqi1Iv6Dv",Wed Apr 02 22:23:53 +0000 2025,en,0,0,Twitter Web App
1907552214136082722,1263894432446910465,"Pleased to see #Trump offer significantly better #TrumpTariff Terms to Britain than the EU, as it should be.   10% vs 20%.  You certainly have #Brexit to thank for that.",Wed Apr 02 21:54:23 +0000 2025,en,4,18,Twitter Web App
1907551748686061736,319099962,"Trump is doing everything he can to incite a violent protest so he can declare Martial Law &amp; a police state, then be a total dictator &amp; never leave

Let Trump &amp; the GOP implode

Autocracies aren't overturned by popular revolt 

Don't Fall For It__
#TrumpTariff
#GreatDepression https://t.co/4xrURBLCFB",Wed Apr 02 21:52:32 +0000 2025,en,0,1,Twitter for iPhone
1907550315198525946,1165024871627350016,"Apr 2, 2025 #WorldLeaders #trumptariff #ustariff

PANICKING Trump GOES NUTS on TARIFF DAY - World Leaders Hits Back at TrumpÕs Tariffs

 https://t.co/VvvNcTdoDe via @YouTube",Wed Apr 02 21:46:50 +0000 2025,en,0,0,Twitter Web App
1907549653513437672,1886374046008233984,"Trump Declares ÔLiberation DayÕ!*  New Tariffs on India &amp; JapanÑGame Changer or Disaster?  #BreakingNews #InvestiloAI

Watch Now https://t.co/AfFaa4zQrd

Get Live Stocks Market Insights: https://t.co/ydwAYN0pA7

Subscribe Now  https://t.co/MtJgpKq9KA 

#TrumpTariff https://t.co/Bnt4sbPIpl",Wed Apr 02 21:44:12 +0000 2025,en,0,0,Twitter for iPhone
1907547026662838272,2737343664,"Where to #invest amid #TrumpTariff fears? Tariff war | #LiberationDay | Apr 2
- #Investors are increasingly becoming cautious of their investment strategy. So what should you really do? Watch the video to know what the experts advise.
https://t.co/8PfimRrMgG https://t.co/79ExSxk0EQ",Wed Apr 02 21:33:46 +0000 2025,en,0,0,Twitter Web App
1907546628321362150,1281659299597619201,#TrumpTariff the biggest Tax hike ever on the American consumer,Wed Apr 02 21:32:11 +0000 2025,en,0,0,Twitter for iPhone
1907539125932331386,1367226839660306432,"ÒReciprocal TariffsÓ Ñ Trump style!

When PowerPoint meets Popcorn 
Tariffs got a scoreboard now 

 Spot your country? Check the % and start the debates.
Is it fair trade or tariff drama? _

 Welcome to the #TrumpTariff Fun Board
Comment below with your thoughts or https://t.co/VnKz2mWz0h",Wed Apr 02 21:02:22 +0000 2025,en,0,1,Twitter Web App
1907583813557039441,2990885631,@AlboMP We already have a tariff on US beef at 10%.... So we have already been doing what Trump wants to do.,Wed Apr 02 23:59:57 +0000 2025,en,0,0,Twitter for Android
1907583809303785905,146730439,@KorbanKonsult @Timothy_Bellman @WhiteHouse The tariff is on their own people. So they are charging a tax to their own citizens for importing us goods. Trump is now increasing taxes for Americans to import those countries goods. ItÕs more expensive for America. The only thing that is changing is Americans are now gonna pay,Wed Apr 02 23:59:55 +0000 2025,en,0,2,Twitter for iPhone
1907583795311817163,1069912441843142656,"@Fr64551577Peter @stillgray In terms of the impact on imports, it's the same thing.

Whether you call it a duty, a tax, or a tariff, it's still a cost your government imposes on imports.

The name you give it is irrelevant.

President Trump has reciprocated. Deal with it.",Wed Apr 02 23:59:52 +0000 2025,en,0,0,Twitter Web App
1907583793650647261,1677044146517819394,"@AlanReynoldsEcn Convinced me, but I trimmed my stock holdings last November because of TrumpÕs tariff talk. I hope Moore has his money where his talk is. Irving Fisher did in 1929.",Wed Apr 02 23:59:52 +0000 2025,en,0,0,Twitter for iPhone
1907583778769281274,25017309,"Every single New York House Republican voted to enable TrumpÕs reckless tariffs. 

They are all now responsible for the largest tax hike in American history.

https://t.co/CQoSf5wEJe",Wed Apr 02 23:59:48 +0000 2025,en,2,3,Twitter Web App
1907583768380190918,756265224,"wow Trump even hit Hoyoverse with a tariff, no one is safe... https://t.co/iDfPWKBdVi",Wed Apr 02 23:59:46 +0000 2025,en,3,88,Twitter Web App
1907583744841498674,635777327,"@josecarreras1 @Realonstist @Breaking911 Because our tariffs will hurt us and them! The dairy tariff doesnt hurt us or them!!

And the milk tariffs was something Trump agreed too in his trade Agreement he made with Canada in his first term.",Wed Apr 02 23:59:40 +0000 2025,en,0,0,Twitter for Android
1907583736566395365,1466312012,LMAO you can't make this stuff up  News trump hits tariff on the Heard Island and McDonald which has ZERO population,Wed Apr 02 23:59:38 +0000 2025,en,0,0,Twitter Web App
1907583710452433260,47690388,@QEInfinity1 @burgessev It isn't meaningless. It puts ALL Republicans voting no on the record supporting Trump's idiotic tariff policy that is going to destroy our economy.,Wed Apr 02 23:59:32 +0000 2025,en,0,1,Twitter Web App
1907583694522527818,1586141216344883201,"@RandPaul I find it intolerable that you bitch about the debt and deficit; and Trump comes up with solutions, you say "" Don't Tariff Canada "" with all the tariffs they have on us!? BS! The United States Taxpayer has had to absorb the Cost of Policing the World and it Charges us!?NO",Wed Apr 02 23:59:28 +0000 2025,en,0,1,Twitter for Android
1907583693369258436,138073453,"US President, Donald Trump, has announced to apply a 26% tariff on imports from India 

#LiberationDay #DonaldTrump #Modi #Tariffs #India #US https://t.co/isUXPHqf0U",Wed Apr 02 23:59:28 +0000 2025,en,32,165,Twitter for iPhone
1907583687991914611,1250724339755831302,@harryjsisson Looks like Trump tariff war has gone full Antarctic next up taxing flippers and feathers,Wed Apr 02 23:59:27 +0000 2025,en,0,3,Twitter for iPhone
1907583686779810257,36668199,"Trump put a 10 percent Trump tariff on the Heard and McDonald Islands, part of the Australia sub-antarctic. The problem, it has a population of 0 people and is inhabited only by penguins. https://t.co/R6IzfCJ0pJ",Wed Apr 02 23:59:26 +0000 2025,en,0,0,Twitter Web App
1907536316939776263,1740206119899860992,Launching my Trump Tariff (TRUMPT) token on https://t.co/mHzpi2dGep todayÑcelebrating America First with 25% tariffs on imports! LetÕs pump it to $69K market cap and hit Raydium. #TrumpTariff #Solana,Wed Apr 02 20:51:12 +0000 2025,en,0,2,Twitter Web App
1907535266979479606,811972460560019456,"Donald Trump announces 25% Tariffs on all foreign made automobiles

Read: https://t.co/t43d6cQzLi

#Automobile #TrumpTariff #Trump #LiberationDay https://t.co/0VQWCiAhyg",Wed Apr 02 20:47:02 +0000 2025,en,0,4,Twitter Web App
1907533298047607219,21911698,"EU has 20% #trumptariff which including Ireland,  UK has 10% now itÕs the deal with Northern Ireland in the middle again #brexitagain",Wed Apr 02 20:39:13 +0000 2025,en,0,0,Twitter for iPhone
1907530249962954814,1149691479750844417,"#TrumpTariff live

First product: Motor Cycle (Ind mentioned 
2nd Automobile (Ind Mentioned)
(Tariff 25%)
3rd Dairy Products (Canada)
4th Beef &amp; Meat (Aus)
5th Rice &amp; Agriculture (China &amp; others)
6th Electronics (China)
7th Ships (China)",Wed Apr 02 20:27:06 +0000 2025,en,0,1,Twitter for iPhone
1907529559387550107,1739311084991864832,"""declaration of economic pandemic.""
#TrumpTariff",Wed Apr 02 20:24:21 +0000 2025,en,0,0,Twitter Web App
1907527603126169748,1388963762003189770,"BREAKING: Trump announces 10% tariff on ALL imports! 

Get ready for market MAYHEM! 

Bitcoin's price is already feeling the heat, down 3.01% in the last 24 hours 

Will this tariff tornado blow away investor confidence? 

Stay tuned for more updates!  #TrumpTariff",Wed Apr 02 20:16:35 +0000 2025,en,0,3,Twitter for Android
1907526746351742984,411621494,"TrumpÕs tariffs are expected to raise consumer prices, but a key question remains: By how much?

#TrumpTariff's are tax increases on top of the inflation tax from obscene spending by the #Republicans. 

https://t.co/l3Rov2rfmT https://t.co/6Vf72GqPZS",Wed Apr 02 20:13:11 +0000 2025,en,1,0,Twitter Web App
1907523696245485781,2361009858,"Donald Trump Live | Trump Tariff | Trade War | Global Economy | US Policy | Tariff War

#DonaldTrump #TrumpTariff #TradeWar #GlobalEconomy #BusinessNews #CNBCBajar #USPolicy #TariffWar

https://t.co/3uRpvZeALT",Wed Apr 02 20:01:03 +0000 2025,en,0,1,Twitter Web App
1907492291146903815,86437069,"2 Hours to go for #TrumpTariff announcement.
Please vote if not already voted.
Most probably Universal Reciprocal Tariffs coming.
Most probably at 20% .
With room to negotiate these downwards left for trading partners .",Wed Apr 02 17:56:16 +0000 2025,en,1,30,Twitter Web App
1907491948841075153,96822790,"World economies are about to come to a grinding halt and it's caused by TrumpTariffTax #TrumpTariff War.

Trump hours away from unveiling global tariffs in possible shakeup of US economic strategy Ð live  https://t.co/dulkCIGZsE https://t.co/D7JE9C1CwS",Wed Apr 02 17:54:54 +0000 2025,en,0,1,Twitter Web App
1907481326489358357,1525964414813237248,@_c6dy Not worth it #TrumpTariff https://t.co/hMFnCqIG5n,Wed Apr 02 17:12:42 +0000 2025,en,0,1,Twitter for iPhone
1907477685225525746,108958777,"#TrumpTariff is associated with #populism, which #CasMudde calls #ThinCentredIdeology. That is an ideology of #antiElitism without a solid #value and #policy. No wonder #MAGAvoters reacted so rebelliously to the open letter against #Trump by #NobelEconomists.",Wed Apr 02 16:58:14 +0000 2025,en,0,0,Twitter Web App
1907469449822875725,1462567940,"$WLFI for @america 

President @realDonaldTrump for @america 

@worldlibertyfi #DeFi #Trump #TrumpTarriffs #trumptariff #Bitcoin #America #AprilFoolDay",Wed Apr 02 16:25:30 +0000 2025,en,0,1,Twitter for Android
1907464226051866697,2212548964,BREAK AND RETEST AT POI #GBPUSD #trumptariff RR1:2 LOCKED  https://t.co/8FbOa7Ne85,Wed Apr 02 16:04:45 +0000 2025,en,0,0,Twitter Web App
1907461843397824681,4564035613,"Tata consumer Good buy : Goldman  What is wrong with our PSU Bank such as Central bank
#tataconsumersharenews #tataconsumersharelatestnews #tataconsumerproducts #tataconsumershare #centralbankofindia #psubanks #trumptariff #nifty #nifty50 #RCBvGT 

https://t.co/J5VORJd4v8",Wed Apr 02 15:55:17 +0000 2025,en,0,0,Twitter Web App
1907452392938905690,3188580042,"NITI Aayog member Ramesh Chand emphasises the need for caution and advises the #government to take a Òwait-and-watchÓ approach.

#TrumpTariff @NITIAayog

https://t.co/WjnS9gs6lH",Wed Apr 02 15:17:43 +0000 2025,en,4,2,Twitter Web App
1907450887951261940,1200056531762368512,"TrumpÕs tariff plan to roll out today 

#TrumpTariff #DonaldTrump #Tariff #USPresidentTrump #USPresident",Wed Apr 02 15:11:45 +0000 2025,en,0,0,Twitter for iPhone
1907441975986450889,3402313372,#SPX waiting for the #TrumpTariff  at 4 Pm !! https://t.co/SuCGE1GrnK,Wed Apr 02 14:36:20 +0000 2025,en,0,0,Twitter Web App
1907583684259229767,1132991916558225408,@SpeakerPelosi IÕve heard that Canada is talking about a zero tariff agreement with the US if Donald Trump agrees to drop all tariffs as well.,Wed Apr 02 23:59:26 +0000 2025,en,0,5,Twitter for iPhone
1907583682161828162,906054202669109248,"FAKE Americans, the greedy rich, &amp; ENEMIES to OUR AMERICA need to be eliminated! They seek to ""SUCK US DRY"", with fkg tariff's raising prices while traitor trump &amp; the greedy rich will steal OUR taxes, the ""tariff money"", &amp; OUR life saving health, food, water, &amp; medical needs!",Wed Apr 02 23:59:25 +0000 2025,en,0,1,Twitter Web App
1907583679473315926,1200394631244111872,"President Trump announced 24% tariff on Japan. If this stays, camera gear I going to get very expensive in the US. I wonder if Canon, Nikon and Sony will absorb any of this and spread it over other regions. What do you think guys?",Wed Apr 02 23:59:25 +0000 2025,en,0,1,Twitter Web App
1907583673022689545,1061874037209522177,"Bitcoin (BTC) experienced a swift and pronounced decline hours after U.S. President Donald Trump unveiled new tariff measures.

Source: Bitcoin News
Shared via the Google app https://t.co/55crnnEfFK",Wed Apr 02 23:59:23 +0000 2025,en,0,2,Twitter for iPhone
1907583654991196530,1453947223809540096,"@MarkJCarney Treasury Secretary Scott Bessent has a message for any countries who are planning to swiftly react to President Donald TrumpÕs tariff plans: ÒSit back, take a deep breath, donÕt immediately retaliate.Ó

ÒLetÕs see where this goes, if you retaliate, thatÕs how we get escalation,Ó",Wed Apr 02 23:59:19 +0000 2025,en,0,1,Twitter for Android
1907583646376317322,3275549174,"The reciprocal levies on will be approximately half of what trading partners charge for US imports, #Trump said. For example, #China currently has a tariff of 67% on US imports, so US reciprocal tariffs on Chinese goods will be 34%, bringing the total new tax rate to 54%",Wed Apr 02 23:59:17 +0000 2025,en,2,7,Twitter Web App
1907583638218158398,252333797,@ncsoral @joncoopertweets Trump put a 10% tariff on Heard and McDonald Islands that only penguin inhabit. So I don't think that was the reason...,Wed Apr 02 23:59:15 +0000 2025,en,0,1,Twitter Web App
1907583635953213594,1437471470830096391,Smoot and Hawley approve of TrumpÕs Tariff Strategy. https://t.co/p3LExNTVik,Wed Apr 02 23:59:14 +0000 2025,en,0,1,Twitter for iPhone
1907583622707589548,33042193,So what do you think the internal reaction right after the tariff announcement was between Trump and his minions?  Were they like amazing job sir? You knocked it out of the park sir? You are brilliant sir?,Wed Apr 02 23:59:11 +0000 2025,en,0,0,Twitter for iPad
1907583597135134899,1616135291093520386,Presidential Daily Schedule Tracker | POTUS Activities and Events   Tariff Tracker  https://t.co/azHcgRTnCH,Wed Apr 02 23:59:05 +0000 2025,en,0,0,Twitter for iPhone
1907583563979010187,808115275,"Top 3 
Vietnam getting hit with a 46% tariff under TrumpÕs reciprocal plan 
China: 54%.
EU: 39%.
NobodyÕs safe in Tariff Town.

Market ainÕt pricing this in yetÉ but the board says it all.
Thanks President Donald J. Trump

#SeeProfitTakeProfit
$SPX $SPY $QQQ $IWM $VIX $UVIX https://t.co/gIEDdJf2JP",Wed Apr 02 23:58:57 +0000 2025,en,0,0,Twitter Web App
1907583562846466370,2613926054,"Remember when I had said the dip hasnÕt comeÉ..last month. 

Futures are collapsing as markets fall following Trump's US Tariff ""Liberation day"" announcements.

US Tech 100 down 4.18%
S&amp;P 500 $SPY $SPX  down 3.52%
Russel 200 down 4.74%
Nasdaq 100 down 4.34%
$VIX up 6.26% https://t.co/cu4G5FCw3B",Wed Apr 02 23:58:57 +0000 2025,en,1,3,Twitter for iPhone
1907583557003862260,1864429772253581312,"@DravenNoctis _
_- Trump imposed a 10 percent tariff on Heard Island and McDonald Islands, which have zero populations and are inhabited only by penguins and scientific research teams.

**
Trump: This tariff is part of a plan to make penguins pay for their national security https://t.co/kwe9FPB8PK",Wed Apr 02 23:58:55 +0000 2025,en,0,0,Twitter for Android
1907416987023634469,1209530174825467904,"Market Breadth is getting strong 

After #trumptariff event, won't be able to catch smallcap &amp; midcap stocks.

#StockMarketIndia #Smallcaps #Nifty https://t.co/QIxtwjpgjH",Wed Apr 02 12:57:02 +0000 2025,en,0,3,Twitter for Android
1907386328125243639,1518676443487690752,"ItÕs #Trumptariff day and itÕs $TSLA deliver numbers day. I saw a lot of bulls posting yesterday, thinking weÕre out of the woods and telling you to buy the dip. This could be a very red day, but we shall see. Hopefully you didnÕt swing calls lol.",Wed Apr 02 10:55:12 +0000 2025,en,0,2,Twitter for iPhone
